QF_Type	start	end	date_assessment	gender_KI	comm_q1	comm_q2	comm_q3	comm_q4	comm_q5	comm_q6	comm_q6_other	comm_q7	comm_q8	comm_q9	comm_q9_other	comm_q10	comm_q11	comm_q12	comm_q13	comm_q14	comm_q15	comm_q16	comm_q16_other	comm_q17	comm_q18	comm_q19	comm_q20	comm_q21	comm_q22	comm_q23	comm_q24	comm_q25	comm_q26	comm_q27	comm_q28	comm_q29	comm_q30	comm_q31	comm_q32	comm_q33	comm_q34	comm_q35	comm_q36	comm_q37	comm_q38	comm_q39	comm_q40	comm_q41	comm_q42	comm_q43	comm_q44	comm_q45	food_market_active	nfi_market_active	mixed_market_active	active_markets	food_market_limited	nfi_market_limited	mixed_market_limited	limited_markets	food_market_closed	nfi_market_closed	mixed_market_closed	closed_markets	comm_q49	comm_q50	comm_q50_other	comm_q51	comm_q51_other	comm_q52	comm_q53	comm_q53_other	comm_q54	comm_q54_other	comm_q55	comm_q56	comm_q57	comm_q58	comm_q58_other	comm_q59	comm_q60	comm_q61	comm_q61_other	comm_q62	comm_q62_other	comm_q63	comm_q63_other	comm_q64	comm_q65	comm_q65_other	comm_q66	comm_q66_other	comm_q67	comm_q68	comm_q69	comm_q70	comm_q70_other	comm_q71	comm_q72	comm_q73	comm_q73_other	comm_q74	comm_q74_other	comm_q75	comm_q75_other	comm_q76	comm_q76_other	current_oblast	current_raion	current_village	gps_work	_gpslocation_latitude	_gpslocation_longitude	location_manual	_id
Community	2017-05-22T12:44:25.417+03	2017-05-22T17:10:39.485+03	2017-05-22	female	No	Попасная	No	Попасная	Yes	"Route to services is unsafe (mines, checkpoints, shelling);"		0	Попасная	"No transportation\long distance to facility;"		all equally	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel not available Delivery problems		Not available	999.0	999.0	999.0	999.0	3.5	999.0	999.0	999.0	999.0	999.0	999.0	8.5	9.0	10.0	6.0	999.0	999.0	999.0	999.0	999.0	20.0	999.0	999.0	999.0	999.0	12.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Private bus service Public bus service Private transport (own car, borrowed car) Mototransport Bicycle Walking		Distance Security concerns in travelling Transport is too expensive		60.0	local (in this rayon) from the oblast from other regions of Ukraine		Unstable employment (daily) Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Попасная	Первомайск. Светлодарск. Артемовск. Мироновка.	Distance Security concerns		Distance to FSP Cost of travelling to FSP		No concerns		No			"Landmines\ERW are present;"		Yes, sufficient	Some of the known areas	Yes, sufficient	All available		No, not required	Daily	well		No		Waste is buried or burned		no problems		Luhanska	Popasnianskyi	Troitske	Yes	48.530986849917284	38.389706183902994		3806661
Community	2017-05-22T11:54:26.134+03	2017-05-22T12:18:48.781+03	2017-05-22	male	No	Торецк	No	Торецк	No	other (specify)	Низкое качество образования в школе отсутствие при поступлении льготных категорий коррупция школьные поборы	2	Торецк	other (specify)	Нет пунктов диагностики	female children male children	501-750	no	Don't know	no	no	Don't know		Limited availability	999.0	15.0	35.0	17.0	6.0	999.0	75.0	999.0	999.0	90.0	25.0	10.0	8.0	15.0	9.0	8.0	8.0	6.0	8.0	20.0	11.0	29.0	50.0	10.0	999.0	6.0	25.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Работают	Private bus service Walking		No challenges			from the oblast from other regions of Ukraine		Farming Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost		Рынок	Рынок	No problems		Queues FSPs do not offer necessary services		Community tension Abuse of power\authority		No			Landmines\ERW are not present		Yes, sufficient		Yes, insufficient	Other (specify)	Плохое обращение работников соцзащиты коррупция	Yes, insufficient	Not in last three months but has happened	water trucking		Yes		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.33389577482085	37.8435904084905		3806672
Community	2017-05-22T13:00:22.285+03	2017-05-22T13:22:43.312+03	2017-05-22	female	Yes, functioning		Yes, functioning		Don't know	Cost of attendance is too high		10	Есть все	"Health care services are too expensive; other (specify)"	Качество облуживания	disabled male disabled female elderly male elderly female	251-500	Yes, infrequently	no	Yes, infrequently	no	No problems		Fully available	25.0	14.0	25.0	17.0	4.0	90.0	65.0	90.0	70.0	90.0	19.0	9.5	9.0	10.0	8.0	999.0	8.0	9.0	8.0	20.0	10.0	20.0	999.0	8.0	250.0	5.0	25.0	16.0	0	0	2	2	0	0	2	2	0	0	0	0	Константиновка	Public bus service		high prices			local (in this rayon) from the oblast		Stable employment (salaried) Unstable employment (daily)		Fully available	Fully available	Fully available	Cost		Рынок	Донецк константиновка	Distance Used to sell at markets which are now at NGCA		No problems		Community tension other (specify) Shelling	Война	No			Landmines\ERW are not present		Yes, sufficient		Yes, sufficient	In-home social care		Yes, insufficient	infrequently	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.32714302899746	37.82720144510996		3806711
Community	2017-05-22T13:42:47.931+03	2017-05-22T13:56:57.928+03	2017-05-22	male	Yes, functioning		No	Торецк	Yes	Cost of attendance is too high other (specify)	Нет квалифицтрованных педагогов	4	Торецк	"Old age; Health care services are too expensive;"		disabled male disabled female elderly male elderly female	251-500	no	no	no	no	Don't know		Limited availability	40.0	16.0	35.0	16.0	6.0	110.0	70.0	55.0	70.0	90.0	25.0	9.0	8.0	15.0	8.0	8.0	9.0	6.0	8.0	18.0	9.0	28.0	40.0	9.0	275.0	6.0	20.0	25.0	0	0	2	2	0	0	0	0	0	0	0	0	Работают или Торецк	Public bus service Private transport (own car, borrowed car)		high prices			from the oblast from other regions of Ukraine		Stable employment (salaried) Unstable employment (daily) Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost Poor quality		Рынок	Рынок	No problems		Queues Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Community tension		No			Landmines\ERW are not present		Yes, sufficient		Yes, sufficient	Registration servives		Yes, insufficient	Not in last three months but has happened	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.33867550226741	37.82165190406544		3806712
Community	2017-05-22T14:41:30.100+03	2017-05-22T14:57:56.196+03	2017-05-22	female	Yes, functioning		No	Торецк	Don't know	No challenges		2	Всего хватает	other (specify)	Основные специалисты в Торецке	disabled male disabled female pregnant women	251-500	Yes, infrequently	The community does not use gas	Yes, infrequently	No centralized heating in the community	Fuel too expensive Fuel not available		Limited availability	30.0	14.0	30.0	18.0	6.0	110.0	75.0	75.0	65.0	87.0	27.0	9.0	8.0	20.0	9.0	12.0	10.0	10.0	8.0	16.0	10.0	20.0	36.0	10.0	250.0	5.0	18.0	40.0	0	0	2	2	0	0	0	0	0	0	0	0	Работают	Public bus service		Transport is too expensive		10.0	from the oblast from other regions of Ukraine		Stable employment (salaried) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Cost		Рынок	Рынок	No problems		Queues		No concerns		No			"Landmines\ERW are present;"		Yes, sufficient	Yes, all known areas	Yes, insufficient	Registration servives		Yes, sufficient	infrequently	piped drinking water		No		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.31761394967789	37.85426852651161		3806713
Community	2017-05-22T12:01:15.149+03	2017-05-22T12:13:51.864+03	2017-05-22	female	Yes, functioning		No	Торецк	Yes	No challenges		3	Торецк	"Health care services are too expensive;"		all equally	0-250	Yes, infrequently	The community does not use gas	Yes, daily	no	No problems		Fully available	25.0	12.0	30.0	20.0	7.0	999.0	70.0	100.0	70.0	100.0	30.0	10.0	9.0	8.0	999.0	999.0	999.0	999.0	999.0	15.0	10.0	25.0	50.0	15.0	999.0	10.0	20.0	25.0	0	0	1	1	0	0	0	0	0	0	0	0	Торецк	Public bus service Private transport (own car, borrowed car) Bicycle Walking		high prices			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare) Support from family\friends		Fully available	Fully available	Fully available	Cost		Торецк	Горловка	Problems transporting produce Used to sell at markets which are now at NGCA		Lack of FSPs (incl. ATMs)		Community tension Mines and ERW Presence of armed groups		No			Not sure\don't know		Yes, insufficient		Yes, insufficient	All available		Don't know	infrequently	piped drinking water		Yes		Public (paid) waste collection		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Artemove	Yes	48.37378651575282	37.884338345915616		3806779
Community	2017-05-22T12:47:56.345+03	2017-05-22T13:00:48.601+03	2017-05-22	female	No	Торецк	No	Торецк	Yes	"Route to services is unsafe (mines, checkpoints, shelling);"		0	А ртемово. Торецк	"Security concerns around travel to health facility; Health care services are too expensive;"		all equally	0-250	Yes, weekly	The community does not use gas	Yes, daily	No centralized heating in the community	Fuel too expensive Quality is too bad		Not available	25.0	15.0	25.0	27.0	8.0	999.0	70.0	90.0	70.0	90.0	30.0	10.0	10.0	15.0	999.0	999.0	15.0	999.0	999.0	20.0	12.0	26.0	50.0	15.0	270.0	12.0	28.0	30.0	0	0	0	0	0	0	0	0	0	0	0	0	Торецк	Private bus service Public bus service Private transport (own car, borrowed car)		Distance Security concerns in travelling high prices			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare) Support from family\friends		Fully available	Fully available	Fully available	Cost		Торецк	Горловка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Cost of travelling to FSP Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Mines and ERW Presence of armed groups		No			"Landmines\ERW are present;"		Don't know	Don't know	No	In-home social care Registration servives Delivering pensions or social benefits		No, required	Weekly	piped drinking water		Yes		Waste is buried or burned		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Leninske	Yes	48.36958663123157	37.9081219955671		3806785
Community	2017-05-22T13:15:34.014+03	2017-05-22T13:25:12.117+03	2017-05-22	male	No	Торецк	No	Торецк	Yes	"Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling);"		0	Торецк	"No health facilities available in the area; Security concerns around travel to health facility; Health care services are too expensive;"		all equally	0-250	Yes, weekly	The community does not use gas	Yes, daily	No centralized heating in the community	Fuel not available Quality is too bad		Not available	25.0	12.0	32.0	25.0	8.0	999.0	70.0	95.0	80.0	100.0	35.0	10.0	8.0	10.0	999.0	999.0	999.0	999.0	999.0	999.0	10.0	25.0	55.0	16.0	999.0	10.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Торецк	Private bus service Public bus service Private transport (own car, borrowed car) Bicycle		Distance Security concerns in travelling high prices			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Торецк	Горловка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs)		Mines and ERW Presence of armed groups		No			"Landmines\ERW are present;"		Don't know	Don't know	No	In-home social care Registration servives		No, required	Weekly	piped drinking water		Yes		Waste is buried or burned		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Leninske	Yes	48.36817487306497	37.90744483655043		3806786
Community	2017-05-22T15:01:59.168+03	2017-05-22T15:12:19.476+03	2017-05-22	male	No	Новгородское	No	Торецк	Don't know	Don't know\Not sure		0	Новгородское	"No transportation\long distance to facility; Old age;"		elderly male elderly female	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	no	Fuel too expensive		Limited availability	30.0	12.0	30.0	18.0	999.0	90.0	70.0	95.0	60.0	100.0	32.0	9.0	9.0	10.0	999.0	999.0	999.0	999.0	999.0	999.0	8.0	999.0	999.0	15.0	999.0	10.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Новгородское	Private transport (own car, borrowed car) Mototransport Bicycle		Distance high prices			from other regions of Ukraine		Unstable employment (daily) Allowances (Social security\welfare)		Not available	Not available	Not available	Cost Insufficient selection		Новгородское	Горловка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Lack of FSPs (incl. ATMs)		Pillage\destruction of property		No			Not sure\don't know		No		No	In-home social care Registration servives		No, not required	infrequently	well		No		Waste is buried or burned		no problems		Donetska	Dzerzhynska	Yurivka	Yes	48.31707922003402	37.838522410739046		3806787
Community	2017-05-22T10:41:16.310+03	2017-05-22T11:16:31.458+03	2017-05-22	male	No	В поселке участковый. В г.Торецк	No	В г. Торецк	Yes	No challenges		1	В г.Торец. ПГТ Северный	"No health facilities available in the area; Old age; Health care services are too expensive;"		disabled male disabled female elderly male elderly female pregnant women female children male children all equally	don’t know	Yes, infrequently	The community does not use gas	Yes, daily	no	Fuel too expensive Fuel not available Quality is too bad other (specify)	Пенсионеры шахтеры теперь не получают бесплатного топлива	Limited availability	35.0	15.0	30.0	16.0	6.0	100.0	78.0	90.0	70.0	90.0	20.0	10.0	9.25	20.0	9.0	12.0	8.0	6.0	9.0	10.0	12.0	40.0	60.0	9.0	270.0	5.0	20.0	32.0	0	0	1	1	0	0	1	1	0	0	0	0	В г.Торецк	Private bus service Public bus service Private transport (own car, borrowed car) Mototransport Bicycle		Distance high prices Transport is too expensive		30.0	local (in this rayon) from the oblast		Unstable employment (daily) Self-employment (not farming) Allowances (Social security\welfare) Remittances (from outside of Ukraine)		Fully available	Fully available	Fully available	Cost Poor quality Insufficient selection		На местном рынке или в г.Торецк	В г.Никитовке. Горловке	Distance Lack of storage for produce at markets Used to sell at markets which are now at NGCA		Cost of travelling to FSP Lack of FSPs (incl. ATMs) Other (specify)	Нет отделений банков. Нет банкоматов .	Mines and ERW Lack of Psycho-Social Support No concerns		No			"Landmines\ERW are present;"		Yes, insufficient	None of the known areas	No	All available		No, required	Daily	piped drinking water		Yes		other (specify)	Выносят на развалины	Cannot empty septic tank Damage to infrastructure water shortages		Donetska	Dzerzhynska	Artemove	Yes	48.37058544467417	37.879369023316116		3806814
Community	2017-05-22T11:54:53.923+03	2017-05-22T12:25:35.899+03	2017-05-22	female	No	В г.Торецк	No	В г. Торецк	Yes	"Route to services is unsafe (mines, checkpoints, shelling); other (specify)"	Военные действия	1	В г.торецк	"No health facilities available in the area; Security concerns to enter\remain in the health facility; Health care services are too expensive;"		all equally	751-1000	Yes, infrequently	The community does not use gas	Yes, weekly	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems		Limited availability	33.0	13.0	40.0	16.5	6.0	100.0	75.0	85.0	74.0	90.0	20.0	10.0	9.5	20.0	10.0	12.0	6.0	5.0	9.0	10.0	11.0	33.0	40.0	8.0	320.0	5.0	17.0	20.0	0	0	1	1	0	0	1	1	0	0	0	0	В г.Торецк. Константиновка	Private bus service Public bus service Private transport (own car, borrowed car) Mototransport Bicycle		Security concerns in travelling high prices Other (specify)	Нерегулярно ходит транспорт		local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Self-employment (not farming) Farming Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost Availability Insufficient selection		Местный рынок. Среди соседей. В г.Торецке	Конст антиновка ТОРЕЦК МЕСТНЫЙ РЫНОК	Distance Problems transporting produce Security concerns		Distance to FSP Queues Lack of FSPs (incl. ATMs)		Mines and ERW Pillage\destruction of property Lack of Psycho-Social Support		No			"Landmines\ERW are present;"		Don't know	None of the known areas	No	All available		Yes, insufficient	Daily	piped drinking water		No		Waste is buried or burned other (specify)	Высылают в ров	Connection to sewage blocked water shortages		Donetska	Dzerzhynska	Artemove	Yes	48.371902321250495	37.88795056557545		3806817
Community	2017-05-22T12:49:54.831+03	2017-05-22T13:44:03.165+03	2017-05-22	male	No	Участковый по телефону в г.Артемово. Отделение в г. Торецк	No	В г.Торецк	Yes	"Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling); other (specify)"	Дети очень устают.после обстрелов.  родители несколько дней не отпускают детей в школу	0	Г.Артемово. г. Торецк. г.Константиновка	"No health facilities available in the area; Security concerns around travel to health facility; Health care services are too expensive;"		disabled male disabled female elderly male elderly female pregnant women female children male children	0-250	no	The community does not use gas	no	No centralized heating in the community	Fuel too expensive Fuel not available Quality is too bad		Limited availability	31.0	13.0	40.0	16.5	6.5	999.0	73.0	85.0	60.0	85.0	20.0	10.5	10.0	22.5	10.0	12.0	6.0	5.0	10.0	10.0	12.0	35.0	50.0	10.0	999.0	6.0	17.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Г.ТОРЕЦК. Г.Констант новку	Private bus service Private transport (own car, borrowed car) Mototransport		Distance Security concerns in travelling high prices			local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Self-employment (not farming) Farming Allowances (Social security\welfare) Support from family\friends		Fully available	Limited availability	Limited availability	Cost Insufficient selection		В Торецке.	Горловка. Никитовка	Distance Security concerns Used to sell at markets which are now at NGCA		Distance to FSP Queues Lack of FSPs (incl. ATMs)		Mines and ERW Pillage\destruction of property Lack of Psycho-Social Support		No			"Landmines\ERW are present;"		Yes, sufficient	Some of the known areas	No	In-home social care Registration servives		No, required	Weekly	piped drinking water		Yes		Waste is buried or burned		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Leninske	Yes	48.3675341077805	37.90840505754087		3806818
Community	2017-05-22T15:03:58.886+03	2017-05-22T15:23:23.391+03	2017-05-22	male	No	В Торецк	No	А Торецк	Don't know	other (specify)	Нет детей  В  округе	0	В Новгородск	"No health facilities available in the area; other (specify)"	При вызове скорой жене никто не приехал с новгородска не доехали и жена умерла	disabled male disabled female elderly male elderly female	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Delivery problems Quality is too bad		Limited availability	999.0	15.0	40.0	16.0	6.0	999.0	73.0	999.0	60.0	999.0	20.0	10.5	999.0	999.0	9.0	14.0	6.0	5.0	9.0	999.0	13.0	35.0	999.0	9.0	999.0	999.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	В Новгородское	Bicycle Walking		Distance Transport is never available high prices			local (in this rayon) from the oblast from other regions of Ukraine		Allowances (Social security\welfare)		Not available	Limited availability	Don't know	Don't know		Нигде	В Торецке	Distance Security concerns		Other (specify)	Их нет вообще	Mines and ERW Pillage\destruction of property		Don't know			"Landmines\ERW are present;"		No	Don't know	Don't know	In-home social care Registration servives		Don't know	Not in last three months but has happened	well		No		Waste is buried or burned		Damage to infrastructure		Donetska	Dzerzhynska	Yurivka	Yes	48.31761177049413	37.84078679192533		3806822
Community	2017-05-22T14:40:18.927+03	2017-05-22T17:22:07.026+03	2017-05-22	female	No	Приезжает участковый  из Горска	No	Попасная	Yes	"Route to services is unsafe (mines, checkpoints, shelling); other (specify)"	Нет транспорта до школы, нет преподавателей	1	Работает 3часа в день, очень дорого.Горск.         Попасная.	other (specify)	Нет оборудования и лаборатории в амбулатории, нет доктора, врач приезжает раз в неделю	elderly male elderly female don’t know all equally	251-500	Yes, infrequently	The community does not use gas	no	No centralized heating in the community	Fuel too expensive Delivery problems Quality is too bad		Limited availability	30.0	13.0	30.0	20.0	6.0	999.0	60.0	60.0	80.0	100.0	40.0	10.0	8.0	10.0	15.0	15.0	16.0	10.0	12.0	20.0	10.0	40.0	38.0	15.0	350.0	7.0	20.0	30.0	0	0	1	1	0	0	0	0	0	0	1	1	Магазин	other (specify)	Одна маршрутка в день	Distance Transport is never available Security concerns in travelling			from the oblast from other regions of Ukraine		Unstable employment (daily) Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Не выращ.	По месту.первомайск	Distance		Distance to FSP Cost of travelling to FSP Queues		other (specify) Shelling	Очень далеко от исполкома	No			Landmines\ERW are not present		Yes, sufficient		Yes, insufficient	In-home social care		Yes, sufficient	Weekly	bottled				Waste is disposed of at designated waste management site other (specify)	Утилиз сварки, уже пять свалок рядом	No water to flush other (specify)	Старые коллекторы -забота канализация	Luhanska	Popasnianskyi	Zolote	Yes	48.68279361520384	38.476690797034465		3806855
Community	2017-05-22T12:37:54.064+03	2017-05-22T17:35:38.423+03	2017-05-22	male	No	Попасная	No	Попасная	No	other (specify)	Влияние сложной ситуации связанной с военными действиями	1	Попасная,ФАБ	"No transportation\long distance to facility; Old age;"		disabled male disabled female elderly male elderly female	don’t know	no	The community does not use gas	Yes, infrequently	No centralized heating in the community	Fuel too expensive Quality is too bad		Not available	999.0	999.0	27.0	999.0	999.0	70.0	999.0	50.0	999.0	999.0	40.0	8.0	8.0	999.0	5.0	999.0	999.0	999.0	999.0	999.0	30.0	25.0	999.0	999.0	999.0	999.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная,торговля на дому	Public bus service Private transport (own car, borrowed car)		Distance Other (specify) Transport is too expensive	Общественный транспорт 3 раза в неделю	60.0	from other regions of Ukraine		Unstable employment (daily) Farming Allowances (Social security\welfare)		Limited availability	Limited availability	Don't know	Cost		Попасная	Попасная	Distance		Distance to FSP Cost of travelling to FSP Technical issues at FSP (eg. Electronic systems not functioning)		Community tension Mines and ERW		No			"Landmines\ERW are present;"		Yes, sufficient	Some of the known areas	Yes, insufficient	All available		Yes, insufficient	Weekly	well		No		Waste is buried or burned Waste is left in the street\public area		no problems		Luhanska	Popasnianskyi	Troitske	Yes	48.526746288681565	38.38386169735693		3807065
Community	2017-05-23T10:37:21.857+03	2017-05-23T10:56:22.633+03	2017-05-23	female	No	Торецк	No	Торецк	Yes	other (specify)	Садика нет	0	Торецк	"No health facilities available in the area; High cost of transportation to health facility; Health care services are too expensive;"		disabled male disabled female elderly male elderly female	0-250	no	no	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems Quality is too bad		Not available	25.0	999.0	26.0	17.0	3.5	999.0	999.0	80.0	70.0	90.0	19.0	10.0	9.25	999.0	999.0	10.0	10.0	5.0	5.0	999.0	999.0	25.0	999.0	8.0	999.0	14.0	26.0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	Торецк	Private bus service Private transport (own car, borrowed car) Mototransport Bicycle		Distance high prices			local (in this rayon)		Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Не продают	Никитовка, Горловка	Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs)		Community tension Abuse of power\authority		No			Landmines\ERW are not present		No		No	All available		No, required	Not in last three months but has happened	well		No		Private (paid) waste collection Waste is left in the street\public area		Cannot empty septic tank		Donetska	Dzerzhynska	Druzhba	Yes	48.40799930976378	37.91332021446502		3824003
Community	2017-05-23T10:57:25.259+03	2017-05-23T11:11:43.578+03	2017-05-23	female	No	Торецк	No	Торецк	No	other (specify)	Садика нет	0	Торецк	"No health facilities available in the area; High cost of transportation to health facility; Health care services are too expensive;"		disabled male disabled female elderly male elderly female	0-250	no	no	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available Quality is too bad		Not available	30.0	15.0	25.0	17.0	5.0	90.0	999.0	60.0	999.0	999.0	20.0	9.5	9.5	10.0	999.0	999.0	999.0	999.0	999.0	999.0	15.0	20.0	999.0	9.0	999.0	10.0	15.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Торецк	Private bus service Private transport (own car, borrowed car)		Distance high prices			local (in this rayon) from the oblast		Allowances (Social security\welfare) Support from family\friends		Limited availability	Fully available	Fully available	Cost		Не продают	Нткитовка, Горловка	Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs)		Community tension		No			Landmines\ERW are not present		No		No	Registration servives		No, required	Not in last three months but has happened	well		No		Private (paid) waste collection Waste is left in the street\public area		Cannot empty septic tank		Donetska	Dzerzhynska	Druzhba	Yes	48.40857900175282	37.913565605209		3824005
Community	2017-05-23T10:40:27.889+03	2017-05-23T11:01:22.917+03	2017-05-23	male	No	Торецк	No	Торецк	No	No challenges		0	Торецк	"Old age; Disability\injuries\illness;"		disabled male disabled female elderly female pregnant women	don’t know	no	no	no	No centralized heating in the community	No problems		Limited availability	999.0	12.0	27.0	17.0	6.0	999.0	999.0	999.0	65.0	999.0	20.0	10.0	8.0	10.0	9.0	8.0	8.0	6.0	8.0	10.0	10.0	22.0	50.0	999.0	999.0	6.0	12.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Торецк	Public bus service		No challenges			from the oblast from other regions of Ukraine		Unstable employment (daily) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Cost		Т орецк соседки	Торецк	No problems		Distance to FSP Lack of FSPs (incl. ATMs)		No concerns		No			Not sure\don't know		Yes, sufficient		Yes, insufficient	In-home social care		Yes, insufficient	Not in last three months but has happened	well		Yes		Public (paid) waste collection Waste is buried or burned		no problems		Donetska	Dzerzhynska	Druzhba	Yes	48.40669630531853	37.91812875106204		3824045
Community	2017-05-23T11:23:04.162+03	2017-05-23T11:40:37.639+03	2017-05-23	male	No	Торецк	No	Торецк	Yes	No challenges		0	Поселок Северный Торецк	other (specify)	Нет квалифицированных  специалистов в ближайшем населенном пункн	disabled male disabled female elderly male elderly female	don’t know	Yes, weekly	Don't know	Yes, infrequently	No centralized heating in the community	No problems		Limited availability	32.0	13.0	30.0	18.0	6.0	126.0	75.0	75.0	50.0	94.0	22.0	10.0	8.0	10.0	10.0	8.0	8.0	6.0	10.0	15.0	10.0	12.0	45.0	10.0	220.0	4.0	12.0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	Магазин рынок Торецк	Public bus service Private transport (own car, borrowed car)		No challenges			local (in this rayon) from the oblast from other regions of Ukraine		Self-employment (not farming) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Availability		Торецк	Торецк	No problems		Distance to FSP Queues FSPs do not offer necessary services		Mines and ERW Shelling		Don't know			Not sure\don't know		Yes, sufficient		Yes, insufficient	In-home social care Registration servives		Yes, insufficient	infrequently	well		Yes		Public (paid) waste collection Waste is buried or burned		no problems other (specify)	Дорогая откачка	Donetska	Dzerzhynska	Druzhba	Yes	48.407491049872256	37.91787488981977		3824046
Community	2017-05-23T11:08:12.668+03	2017-05-23T11:21:28.621+03	2017-05-23	female	No	Торецк	No	Торецк	No	No challenges		0	Торецк	"Old age; Disability\injuries\illness;"		disabled male disabled female elderly male elderly female	don’t know	no	no	no	No centralized heating in the community	No problems		Limited availability	38.0	15.0	30.0	17.0	5.0	110.0	70.0	55.0	65.0	90.0	20.0	10.0	8.0	10.0	8.0	8.0	8.0	6.0	8.0	15.0	8.0	25.0	50.0	9.0	280.0	6.0	18.0	30.0	0	0	0	0	0	0	0	0	0	0	0	0	Местный магазин рынок в Торецке	Public bus service Private transport (own car, borrowed car)		No challenges			local (in this rayon) from the oblast from other regions of Ukraine		Unstable employment (daily) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Cost		В Торецке на рынке	Торецк	No problems		Distance to FSP Queues		don't know		No			Not sure\don't know		Yes, sufficient		Yes, insufficient	Registration servives		Yes, insufficient	Not in last three months but has happened	well		No		Public (paid) waste collection Waste is buried or burned		Cannot empty septic tank		Donetska	Dzerzhynska	Druzhba	Yes	48.407468864777265	37.91526428383213		3824150
